"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
1,"Bearing Ball, Steel",Any,Bearings,[C1]*[Size1]+[C2],mm,,0.003,0.05,0,,0.05,5-May-09,"[Size1]=Ball diameter (mm).  Any steel materiAluminum  This material is for a single steel sphere ball, not a complete bearing."
2,"Bearing, Ball, Angular Contact",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
3,"Bearing, Ball, Deep Groove",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
4,"Bearing, Ball, Radial",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
5,"Bearing, Cylindrical Roller",Any,Bearings, [C1]*[Size1]*[Size2]+[C2] ,mm,mm,0.0045,3.6,0,0, $3.60 ,23-Feb-09,[Size1]=Outer Diameter (mm).  [Size2]=Length of bearing (mm).  Not for wheel bearing use.
6,"Bearing, Double Row, Ball, Angular Contact",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
7,"Bearing, Double Row, Ball, Deep Groove",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
8,"Bearing, Double Row, Ball, Radial",Any,Bearings, [C1]*(([Size1]^2*[Size2]))^([C2]) ,mm,mm,0.1,0.5,0,0, $-   ,23-Feb-09,"[Size1]=Outer diameter (mm), [Size2]=Thickness (mm).  Not to be used for wheel bearings."
9,"Bearing, Linear, Closed",Any,Bearings, [C1]*[Size1]^2*[Size2]+[C2] ,mm,mm,0.00010,7.38,0,0, $7.38 ,10-Mar-09,"[Size1]=Outer diameter (mm), [Size2]=Length (mm).  Use with end-supported shafts."
10,"Bearing, Linear, Open",Any,Bearings, [C1]*[Size1]^2*[Size2]+[C2] ,mm,mm,0.00012,13.1,0,0, $13.10 ,10-Mar-09,"[Size1]=Outer diameter (mm), [Size2]=Length (mm).  Use with continuously supported shafts or where access to shaft ends is not possible."
11,"Bearing, Needle",Any,Bearings, [C1]*[Size1]*[Size2]+[C2] ,mm,mm,0.0045,3.6,0,0, $3.60 ,23-Feb-09,[Size1]=Outer Diameter (mm).  [Size2]=Length of bearing (mm).  Any style of needle bearing.  Not for wheel bearing use.
12,"Bearing, Spherical",Any,Bearings, [C1]*[Size1]^2+[C2] ,mm,,0.03,5.00,0,, $5.00 ,,[Size1]=bore size (diameter of hole in spherical bearing).
